name,lig_ligand_homo,lig_ligand_homo_minus_1,lig_ligand_lumo,lig_ligand_lumo_plus_1,lig_ligand_hl_gap,lig_ligand_fermi_level,lig_ligand_energy,lig_ligand_IP_shift,lig_ligand_IP,lig_ligand_EA_shift,lig_ligand_EA,lig_ligand_GEI,lig_ligand_f_plus_atom_0,lig_ligand_f_minus_atom_0,lig_ligand_f_zero_atom_0,lig_ligand_mulliken_atom_0,lig_ligand_cm5_atom_0,lig_ligand_f_plus_atom_1,lig_ligand_f_minus_atom_1,lig_ligand_f_zero_atom_1,lig_ligand_mulliken_atom_1,lig_ligand_cm5_atom_1,lig_ligand_atom_num,lig_ligand_weight,lig_ligand_farthest_distance,lig_ligand_mol_radius,lig_ligand_mol_size_short,lig_ligand_mol_size_2,lig_ligand_mol_size_l,lig_ligand_length_ratio,lig_ligand_len_div_diameter,lig_ligand_mpp,lig_ligand_sdp,lig_ligand_dipole_moment,lig_ligand_quadrupole_moment,lig_ligand_octopole_moment,lig_morfeus_area,lig_morfeus_volume,lig_morfeus_p_int,lig_morfeus_sasa_area,lig_morfeus_sasa_volume,lig_morfeus_vbur_atom_0,lig_morfeus_sasa_atom_0,lig_morfeus_pyr_P_atom_0,lig_morfeus_pyr_P_angle_atom_0,lig_morfeus_vbur_atom_1,lig_morfeus_sasa_atom_1,lig_morfeus_pyr_P_atom_1,lig_morfeus_pyr_P_angle_atom_1
frame_2_2-methylpropane_1_bromane_0_SINGLE_methanol_1_1,-9.5469,-9.7534,-8.0623,-6.7049,1.4845,-8.8046,-73.690143076883,4.8455,7.7608,4.8455,0.8938,1.3634429365079366,0.108,0.209,0.158,0.02854,-0.09779,0.101,0.224,0.162,0.02932,-0.09707,62,425.36413,52.0,6.202,9.491,11.331,11.495,0.3556951449701396,0.9267171880038696,1.669813,7.102823,52.665921,422.40839,8491.6712,446.1896682227931,537.5839107961203,20.813804254330734,560.932587521485,1031.2570896670084,0.8246540719344018,1.5999954627421544,0.862054115339382,6.588386355867294,0.8496901789042117,0.1099996880635219,0.8016105618709992,5.949240479810029
frame_2_2-methylpropane_1_butane_0_SINGLE_butane_0_3,-9.2597,-9.5251,-6.2354,-4.4043,3.0243,-7.7476,-88.242860298104,4.8455,7.547,4.8455,0.126,0.9916946671607602,0.188,0.201,0.195,0.02722,-0.09972,0.204,0.212,0.208,0.02546,-0.10317,82,428.65546,82.0,9.547,9.654,11.952,18.921,0.4668739358945887,0.9909395621661254,1.655473,7.244637,52.755867,430.784547,9047.0161,578.2104295874503,665.5621499498268,19.60480814501067,725.3121165027255,1302.5441643514753,0.8351775065225494,0.729997929876108,0.8616763784378839,6.586125919240978,0.8575696515095043,0.4199988089698149,0.8195187027849975,6.137629130588445
frame_2_4H-pyran_1_benzene_0_SINGLE_benzene_0_3,-9.4557,-9.6856,-6.9495,-6.3553,2.5062,-8.2026,-109.247029765534,4.8455,7.1133,4.8455,1.1705,1.443371441912903,0.122,0.065,0.094,0.02115,-0.08905,0.073,0.091,0.082,0.04289,-0.06599,70,564.54839,68.0,8.908,11.023,13.244,17.385,0.417386920195909,0.9758082622361924,2.046787,8.879112,47.152926,339.213147,6527.2651,623.6052833762881,669.4878327863291,22.8502086682964,781.5147919075249,1392.9443745511203,0.6953620014908685,8.309976434617079,0.967704202443374,8.161764826115347,0.7598537085352217,10.359970621255464,0.9344082796880204,7.60217891047599
frame_2_benzene_0_benzene_0,-9.9654,-10.0051,-6.8036,-6.7336,3.1618,-8.3845,-86.721363342229,4.8455,7.8182,4.8455,1.1229,1.4925258989515036,0.116,0.186,0.151,0.02749,-0.09175,0.112,0.171,0.142,0.0285,-0.0904,60,472.49753,48.0,7.362,9.078,13.18,14.272,0.3906925814399123,0.9693018201575658,1.493735,6.716684,52.730579,445.512282,10010.8871,526.5914792572422,585.6168912337754,23.37699243481841,662.0839127204254,1188.0084357249898,0.6814899366380917,15.25995672590332,0.934019942164678,7.554209661736692,0.7357610417443161,7.649978306235933,0.9257153727002314,7.421952292024749
frame_2_furan_0_butane_0_SINGLE_butane_0_2,-10.0539,-10.1235,-6.5924,-6.2156,3.4614,-8.3231,-92.217051317587,4.8455,7.8949,4.8455,0.4605,1.1738120957979123,0.143,0.182,0.162,0.02909,-0.0864,0.155,0.177,0.166,0.03092,-0.08699,62,468.4625,62.0,8.066,11.323,11.76,15.868,0.4073836358501707,0.9836350111579468,2.071402,8.795735,53.983962,461.86996,10442.9449,549.4887833698452,583.9450603272413,21.40107463322394,695.5898793037036,1225.036599337844,0.6671810939247111,16.3999534931071,0.9472475498370726,7.8238131611803325,0.7423767704062616,9.009974449566773,0.9274636659735188,7.4143327245396
frame_2_naphthalene_0_butane_0_SINGLE_butane_0_2,-9.7648,-9.817,-7.2373,-7.1416,2.5276,-8.5011,-135.538143599562,4.8455,7.3992,4.8455,1.9873,2.035015018985938,0.05,0.132,0.091,0.03538,-0.08401,0.053,0.135,0.094,0.04331,-0.08397,98,708.84959,70.0,9.852,9.963,15.755,16.43,0.3898168359115497,0.833840844498579,1.641368,7.495551,54.878582,504.284153,12973.5416,799.455139979212,900.7988002342696,23.62946751422852,974.3460885748312,1800.7569654551924,0.677046449869549,12.389964864609578,0.9380900226403396,7.600980649210063,0.802168747670518,2.80999203144091,0.8705269056812135,6.703499810626465
frame_2_naphthalene_0_butane_0_SINGLE_butane_0_3,-9.7871,-9.8549,-7.2103,-7.1543,2.5769,-8.4987,-135.54796462636,4.8455,7.429,4.8455,1.9808,2.031504350978305,0.051,0.127,0.089,0.03389,-0.08462,0.052,0.135,0.094,0.04092,-0.08612,98,708.84959,98.0,10.488,10.546,15.175,20.182,0.4396662527503648,0.9621472158657514,1.69924,8.204986,53.883454,486.604434,12421.1585,786.4611374761034,900.7178604483435,23.6763745074744,947.6857364081548,1778.392428113556,0.6650204994409243,14.669958399017151,0.9468820979970596,7.79315402347267,0.7864098024599329,3.959988770286833,0.8997712084067525,7.029254545152625
frame_2_oxolane_0_acetylene_0_SINGLE_borane_0_2,-9.7513,-9.9676,-6.3942,-4.9685,3.3571,-8.0727,-81.087836786288,4.8455,7.9354,4.8455,0.1142,1.0355837365110214,0.211,0.183,0.197,0.02405,-0.11037,0.222,0.168,0.195,0.0221,-0.10798,58,408.21705,39.0,6.409,9.629,11.642,11.654,0.353955960516325,0.9091902012794508,1.786033,7.29658,52.614668,419.684758,8314.4919,446.02711584653,515.9454936287004,20.57819660295635,575.949266122496,1027.4629658988342,0.7952094204248975,1.279996370193732,0.9606291644765288,8.035500288886183,0.7645767331345509,5.969983070356673,0.9236415498830244,7.355989681981706
frame_2_oxolane_0_propane_0_SINGLE_borane_0_3,-10.0324,-10.2875,-7.0001,-6.0373,3.0323,-8.5162,-86.345077413713,4.8455,8.1897,4.8455,0.8026,1.368288287859918,0.177,0.15,0.164,0.03309,-0.10249,0.15,0.192,0.171,0.02599,-0.10436,65,426.27543,63.0,6.779,9.92,11.753,12.399,0.3639058464428269,0.9145154152529872,1.753738,7.56695,46.951775,346.788763,6498.5264,495.9576936946577,559.3841035355628,20.46615265637456,622.0978868942976,1115.959019085926,0.804113865076407,0.7699978164446679,0.9608495571951456,8.035603128051381,0.7512229780096906,6.339982021115799,0.927967119444744,7.420306476564303
frame_2_oxolane_2_acetylene_0_SINGLE_benzene_0_5,-9.8727,-9.9909,-6.5519,-6.4472,3.3208,-8.2123,-94.228699723479,4.8455,7.7824,4.8455,0.5202,1.1865062715155188,0.155,0.156,0.155,0.01704,-0.09972,0.134,0.166,0.15,0.01179,-0.10698,66,472.49426,62.0,8.304,8.87,10.687,16.142,0.4521695285582229,0.9719412331406552,1.473111,6.41525,47.657689,339.359821,6107.8653,530.0734592077332,588.3243953947895,21.34350394400868,664.341879951503,1192.5623070779814,0.6702967759970183,18.45994765138763,0.9205716811965085,7.347685113230464,0.7233332556839359,10.989968834710194,0.9060258215997756,7.115945833032153
